"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","25 Jun 2014","-","-","-","3815.36"
"NIFTY SMALLCAP 250","24 Jun 2014","","","","3802.00"
"NIFTY SMALLCAP 250","23 Jun 2014","-","-","-","3736.88"
"NIFTY SMALLCAP 250","20 Jun 2014","","","","3719.50"
"NIFTY SMALLCAP 250","19 Jun 2014","-","-","-","3749.27"
"NIFTY SMALLCAP 250","18 Jun 2014","","","","3760.80"
"NIFTY SMALLCAP 250","17 Jun 2014","-","-","-","3774.45"
"NIFTY SMALLCAP 250","16 Jun 2014","","","","3698.30"
"NIFTY SMALLCAP 250","13 Jun 2014","-","-","-","3683.37"
"NIFTY SMALLCAP 250","12 Jun 2014","","","","3795.90"
"NIFTY SMALLCAP 250","11 Jun 2014","-","-","-","3788.25"
"NIFTY SMALLCAP 250","10 Jun 2014","","","","3818.00"
"NIFTY SMALLCAP 250","09 Jun 2014","-","-","-","3826.32"
"NIFTY SMALLCAP 250","06 Jun 2014","","","","3738.80"
"NIFTY SMALLCAP 250","05 Jun 2014","-","-","-","3684.47"
"NIFTY SMALLCAP 250","04 Jun 2014","","","","3636.00"
"NIFTY SMALLCAP 250","03 Jun 2014","-","-","-","3560.37"
"NIFTY SMALLCAP 250","02 Jun 2014","","","","3514.90"
"NIFTY SMALLCAP 250","30 May 2014","-","-","-","3436.17"
"NIFTY SMALLCAP 250","29 May 2014","","","","3423.80"
"NIFTY SMALLCAP 250","28 May 2014","-","-","-","3438.89"
"NIFTY SMALLCAP 250","27 May 2014","-","-","-","3403.36"
"NIFTY SMALLCAP 250","26 May 2014","","","","3428.50"
"NIFTY SMALLCAP 250","23 May 2014","-","-","-","3515.99"
"NIFTY SMALLCAP 250","22 May 2014","-","-","-","3445.90"
"NIFTY SMALLCAP 250","21 May 2014","-","-","-","3346.07"
"NIFTY SMALLCAP 250","20 May 2014","","","","3292.40"
"NIFTY SMALLCAP 250","19 May 2014","-","-","-","3202.41"
"NIFTY SMALLCAP 250","16 May 2014","-","-","-","3019.50"
"NIFTY SMALLCAP 250","15 May 2014","-","-","-","2974.48"
"NIFTY SMALLCAP 250","14 May 2014","","","","3001.90"
"NIFTY SMALLCAP 250","13 May 2014","-","-","-","2974.18"
"NIFTY SMALLCAP 250","12 May 2014","-","-","-","2915.80"
"NIFTY SMALLCAP 250","09 May 2014","-","-","-","2896.78"
"NIFTY SMALLCAP 250","08 May 2014","-","-","-","2864.50"
"NIFTY SMALLCAP 250","07 May 2014","-","-","-","2847.25"
"NIFTY SMALLCAP 250","06 May 2014","","","","2850.20"
"NIFTY SMALLCAP 250","05 May 2014","-","-","-","2837.33"
"NIFTY SMALLCAP 250","02 May 2014","","","","2845.00"
"NIFTY SMALLCAP 250","30 Apr 2014","","","","2829.00"
"NIFTY SMALLCAP 250","29 Apr 2014","-","-","-","2873.30"
"NIFTY SMALLCAP 250","28 Apr 2014","","","","2878.40"
"NIFTY SMALLCAP 250","25 Apr 2014","-","-","-","2871.62"
"NIFTY SMALLCAP 250","23 Apr 2014","","","","2879.80"
"NIFTY SMALLCAP 250","22 Apr 2014","-","-","-","2871.97"
"NIFTY SMALLCAP 250","21 Apr 2014","-","-","-","2870.00"
"NIFTY SMALLCAP 250","17 Apr 2014","","","","2830.20"
"NIFTY SMALLCAP 250","16 Apr 2014","-","-","-","2787.52"
"NIFTY SMALLCAP 250","15 Apr 2014","","","","2828.00"
"NIFTY SMALLCAP 250","11 Apr 2014","-","-","-","2839.42"
"NIFTY SMALLCAP 250","10 Apr 2014","-","-","-","2822.10"
"NIFTY SMALLCAP 250","09 Apr 2014","-","-","-","2802.59"
"NIFTY SMALLCAP 250","07 Apr 2014","","","","2745.90"
"NIFTY SMALLCAP 250","04 Apr 2014","-","-","-","2743.33"
"NIFTY SMALLCAP 250","03 Apr 2014","","","","2725.80"
"NIFTY SMALLCAP 250","02 Apr 2014","-","-","-","2733.64"
"NIFTY SMALLCAP 250","01 Apr 2014","","","","2688.20"
"NIFTY SMALLCAP 250","31 Mar 2014","-","-","-","2682.37"
"NIFTY SMALLCAP 250","28 Mar 2014","","","","2655.80"
"NIFTY SMALLCAP 250","27 Mar 2014","-","-","-","2617.35"
"NIFTY SMALLCAP 250","26 Mar 2014","","","","2597.20"
"NIFTY SMALLCAP 250","25 Mar 2014","-","-","-","2591.51"
"NIFTY SMALLCAP 250","24 Mar 2014","","","","2579.40"
"NIFTY SMALLCAP 250","22 Mar 2014","-","-","-","2578.96"
"NIFTY SMALLCAP 250","21 Mar 2014","","","","2565.60"
"NIFTY SMALLCAP 250","20 Mar 2014","-","-","-","2539.16"
"NIFTY SMALLCAP 250","19 Mar 2014","","","","2537.10"
"NIFTY SMALLCAP 250","18 Mar 2014","-","-","-","2525.31"
"NIFTY SMALLCAP 250","14 Mar 2014","-","-","-","2495.70"
"NIFTY SMALLCAP 250","13 Mar 2014","","","","2503.40"
"NIFTY SMALLCAP 250","12 Mar 2014","","","","2524.40"
"NIFTY SMALLCAP 250","11 Mar 2014","-","-","-","2525.00"
"NIFTY SMALLCAP 250","10 Mar 2014","-","-","-","2522.41"
"NIFTY SMALLCAP 250","07 Mar 2014","-","-","-","2514.80"
"NIFTY SMALLCAP 250","06 Mar 2014","-","-","-","2522.69"
"NIFTY SMALLCAP 250","05 Mar 2014","","","","2487.80"
"NIFTY SMALLCAP 250","04 Mar 2014","-","-","-","2474.02"
"NIFTY SMALLCAP 250","03 Mar 2014","-","-","-","2440.30"
"NIFTY SMALLCAP 250","28 Feb 2014","","","","2440.30"
"NIFTY SMALLCAP 250","26 Feb 2014","-","-","-","2429.97"
"NIFTY SMALLCAP 250","25 Feb 2014","","","","2426.40"
"NIFTY SMALLCAP 250","24 Feb 2014","-","-","-","2418.19"
"NIFTY SMALLCAP 250","21 Feb 2014","","","","2409.50"
"NIFTY SMALLCAP 250","20 Feb 2014","-","-","-","2389.26"
"NIFTY SMALLCAP 250","19 Feb 2014","","","","2391.70"
"NIFTY SMALLCAP 250","18 Feb 2014","-","-","-","2371.81"
"NIFTY SMALLCAP 250","17 Feb 2014","","","","2343.80"
